Tile_1: 
λ(nm)	T
897.89	0.9772
887.901	0.9772
877.945	0.9772
867.966	0.9772
857.974	0.9772
848.034	0.9772
838.039	0.9772
828.054	0.9772
818.088	0.9772
808.095	0.9772
798.137	0.9772
788.171	0.9772
778.205	0.9772
768.202	0.9772
758.22	0.9772
748.269	0.9772
738.266	0.9772
728.313	0.9772
718.333	0.9772
708.338	0.9772
698.381	0.977199
688.394	0.977199
678.427	0.977199
668.457	0.977199
658.459	0.977199
648.484	0.977199
638.51	0.977199
628.518	0.977199
618.556	0.977199
608.576	0.977199
598.593	0.977199
588.625	0.977199
578.658	0.977199
568.683	0.977199
558.692	0.977199
548.73	0.977199
538.742	0.977199
528.771	0.977199
518.792	0.977198
508.807	0.977198
498.836	0.977198
488.861	0.977198
478.888	0.977198
468.905	0.977198
458.921	0.977197
448.945	0.977197
438.973	0.977197
429.002	0.977197
419.019	0.977196
409.044	0.977196
399.069	0.977196
389.09	0.977195
379.11	0.977195
369.133	0.977194
359.166	0.977193
349.181	0.977192
339.204	0.977192
329.229	0.97719
319.255	0.977189
309.278	0.977188
299.304	0.977186
289.322	0.977184
279.346	0.977182
269.371	0.977179
259.396	0.977175
249.418	0.977171
239.44	0.977166
229.465	0.97716
219.486	0.977152
209.51	0.977142
199.534	0.97713

Tile_2: 
λ(nm)	T
897.89	0.9842
887.901	0.9842
877.945	0.9842
867.966	0.9842
857.974	0.9842
848.034	0.9842
838.039	0.9842
828.054	0.9842
818.088	0.9842
808.095	0.9842
798.137	0.9842
788.171	0.9842
778.205	0.9842
768.202	0.9842
758.22	0.9842
748.269	0.9842
738.266	0.9842
728.313	0.9842
718.333	0.9842
708.338	0.9842
698.381	0.9842
688.394	0.9842
678.427	0.9842
668.457	0.9842
658.459	0.9842
648.484	0.984199
638.51	0.984199
628.518	0.984199
618.556	0.984199
608.576	0.984199
598.593	0.984199
588.625	0.984199
578.658	0.984199
568.683	0.984199
558.692	0.984199
548.73	0.984199
538.742	0.984199
528.771	0.984199
518.792	0.984199
508.807	0.984199
498.836	0.984198
488.861	0.984198
478.888	0.984198
468.905	0.984198
458.921	0.984198
448.945	0.984198
438.973	0.984197
429.002	0.984197
419.019	0.984197
409.044	0.984197
399.069	0.984196
389.09	0.984196
379.11	0.984195
369.133	0.984195
359.166	0.984194
349.181	0.984194
339.204	0.984193
329.229	0.984192
319.255	0.984191
309.278	0.98419
299.304	0.984188
289.322	0.984186
279.346	0.984184
269.371	0.984182
259.396	0.984179
249.418	0.984175
239.44	0.984171
229.465	0.984166
219.486	0.984159
209.51	0.984151
199.534	0.98414

Tile_3: 
λ(nm)	T
897.89	0.9717
887.901	0.9717
877.945	0.9717
867.966	0.9717
857.974	0.9717
848.034	0.9717
838.039	0.9717
828.054	0.9717
818.088	0.9717
808.095	0.9717
798.137	0.9717
788.171	0.9717
778.205	0.9717
768.202	0.9717
758.22	0.9717
748.269	0.9717
738.266	0.9717
728.313	0.9717
718.333	0.9717
708.338	0.9717
698.381	0.9717
688.394	0.9717
678.427	0.9717
668.457	0.971699
658.459	0.971699
648.484	0.971699
638.51	0.971699
628.518	0.971699
618.556	0.971699
608.576	0.971699
598.593	0.971699
588.625	0.971699
578.658	0.971699
568.683	0.971699
558.692	0.971699
548.73	0.971699
538.742	0.971699
528.771	0.971699
518.792	0.971699
508.807	0.971698
498.836	0.971698
488.861	0.971698
478.888	0.971698
468.905	0.971698
458.921	0.971698
448.945	0.971698
438.973	0.971697
429.002	0.971697
419.019	0.971697
409.044	0.971696
399.069	0.971696
389.09	0.971696
379.11	0.971695
369.133	0.971694
359.166	0.971694
349.181	0.971693
339.204	0.971692
329.229	0.971691
319.255	0.97169
309.278	0.971689
299.304	0.971687
289.322	0.971685
279.346	0.971683
269.371	0.971681
259.396	0.971677
249.418	0.971673
239.44	0.971669
229.465	0.971663
219.486	0.971656
209.51	0.971647
199.534	0.971635

Tile_4: 
λ(nm)	T
897.89	0.9863
887.901	0.9863
877.945	0.9863
867.966	0.9863
857.974	0.9863
848.034	0.9863
838.039	0.9863
828.054	0.9863
818.088	0.9863
808.095	0.9863
798.137	0.9863
788.171	0.9863
778.205	0.9863
768.202	0.9863
758.22	0.9863
748.269	0.9863
738.266	0.9863
728.313	0.9863
718.333	0.9863
708.338	0.9863
698.381	0.9863
688.394	0.9863
678.427	0.9863
668.457	0.9863
658.459	0.9863
648.484	0.986299
638.51	0.986299
628.518	0.986299
618.556	0.986299
608.576	0.986299
598.593	0.986299
588.625	0.986299
578.658	0.986299
568.683	0.986299
558.692	0.986299
548.73	0.986299
538.742	0.986299
528.771	0.986299
518.792	0.986299
508.807	0.986299
498.836	0.986299
488.861	0.986298
478.888	0.986298
468.905	0.986298
458.921	0.986298
448.945	0.986298
438.973	0.986297
429.002	0.986297
419.019	0.986297
409.044	0.986297
399.069	0.986296
389.09	0.986296
379.11	0.986295
369.133	0.986295
359.166	0.986294
349.181	0.986294
339.204	0.986293
329.229	0.986292
319.255	0.986291
309.278	0.98629
299.304	0.986288
289.322	0.986287
279.346	0.986285
269.371	0.986282
259.396	0.986279
249.418	0.986276
239.44	0.986272
229.465	0.986266
219.486	0.98626
209.51	0.986252
199.534	0.986241

Tile_5: 
λ(nm)	T
897.89	0.9863
887.901	0.9863
877.945	0.9863
867.966	0.9863
857.974	0.9863
848.034	0.9863
838.039	0.9863
828.054	0.9863
818.088	0.9863
808.095	0.9863
798.137	0.9863
788.171	0.9863
778.205	0.9863
768.202	0.9863
758.22	0.9863
748.269	0.9863
738.266	0.9863
728.313	0.9863
718.333	0.9863
708.338	0.9863
698.381	0.9863
688.394	0.9863
678.427	0.9863
668.457	0.9863
658.459	0.9863
648.484	0.986299
638.51	0.986299
628.518	0.986299
618.556	0.986299
608.576	0.986299
598.593	0.986299
588.625	0.986299
578.658	0.986299
568.683	0.986299
558.692	0.986299
548.73	0.986299
538.742	0.986299
528.771	0.986299
518.792	0.986299
508.807	0.986299
498.836	0.986299
488.861	0.986298
478.888	0.986298
468.905	0.986298
458.921	0.986298
